Iteration,Discriminator Loss,Generator Loss
2520,1.334939,0.641879
2530,1.354496,0.731746
2540,1.363464,0.667833
2550,1.341723,0.715487
2560,1.359422,0.770178
2570,1.339941,0.738937
2580,1.324629,0.773647
2590,1.354411,0.751879
2600,1.348588,0.641974
2610,1.353129,0.740362
2620,1.370319,0.778298
2630,1.356048,0.650835
2640,1.351384,0.712155
2650,1.370392,0.766279
2660,1.332662,0.621032
2670,1.337724,0.633466
2680,1.355042,0.738189
2690,1.344588,0.711355
2700,1.325579,0.751878
2710,1.361662,0.737871
2720,1.354367,0.836516
2730,1.374958,0.624425
2740,1.345299,0.624377
2750,1.358224,0.730113
2760,1.364686,0.792082
2770,1.376356,0.794925
2780,1.358849,0.783366
2790,1.339220,0.761185
2800,1.368200,0.661967
2810,1.355832,0.735644
2820,1.334092,0.787403
2830,1.356281,0.713239
2840,1.344526,0.810391
2850,1.359110,0.641914
2860,1.371630,0.723390
2870,1.317016,0.636057
2880,1.334655,0.705211
2890,1.355798,0.617576
2900,1.308205,0.653226
2910,1.339083,0.660692
2920,1.346859,0.666613
2930,1.354598,0.724545
2940,1.355317,0.620076
2950,1.353893,0.732949
2960,1.352117,0.792678
2970,1.352503,0.715618
2980,1.348083,0.713224
2990,1.332296,0.755887
3000,1.366550,0.654205
3010,1.365766,0.670923
3020,1.361573,0.642929
3030,1.340340,0.782478
3040,1.340267,0.682518
3050,1.346761,0.760714
3060,1.339407,0.747948
3070,1.346687,0.643895
3080,1.351566,0.670952
3090,1.368962,0.697591
3100,1.355671,0.738371
3110,1.325494,0.721116
3120,1.337390,0.673891
3130,1.329737,0.722735
3140,1.353330,0.670766
3150,1.346559,0.691160
3160,1.349580,0.732844
3170,1.347642,0.696707
3180,1.344096,0.649425
3190,1.343814,0.648454
3200,1.332813,0.723740
3210,1.334136,0.694882
3220,1.331397,0.690445
3230,1.342594,0.768455
3240,1.321740,0.720181
3250,1.327042,0.815895
3260,1.323404,0.635418
3270,1.285693,0.698098
3280,1.334271,0.687958
3290,1.344205,0.799474
3300,1.329770,0.603989
3310,1.339311,0.799014
3320,1.338082,0.713050
3330,1.355570,0.714144
3340,1.319628,0.759017
3350,1.314283,0.672421
3360,1.326421,0.616274
3370,1.311489,0.633005
3380,1.331998,0.754891
3390,1.357968,0.673640
3400,1.330704,0.592094
3410,1.332503,0.720521
3420,1.316479,0.630552
3430,1.365591,0.824767
3440,1.337965,0.679453
3450,1.328741,0.802018
3460,1.332886,0.637903
3470,1.345366,0.802333
3480,1.318733,0.762605
3490,1.339992,0.679101
3500,1.358058,0.797074
3510,1.318240,0.606903
3520,1.332082,0.644247
3530,1.351738,0.786816
3540,1.342659,0.777816
3550,1.359902,0.646847
3560,1.342244,0.738246
3570,1.310338,0.742435
3580,1.339593,0.799574
3590,1.351424,0.697663
